Signal Legend:

Key        Signal Name

0        = complex_coordinate_generator:inst8|clk
1        = complex_coordinate_generator:inst8|done
2        = complex_coordinate_generator:inst8|new_coordinate_clk
3        = complex_coordinate_generator:inst8|request_pin
4        = complex_coordinate_generator:inst8|reset
5        = complex_coordinate_generator:inst8|x[0..9]
6        = complex_coordinate_generator:inst8|y[0..9]
7        = complex_coordinate_generator:inst8|Cre[0..31]
8        = complex_coordinate_generator:inst8|Cim[0..31]
9        = iteration_counter:inst4|count[0..31]
10       = iteration_counter:inst4|done
11       = iteration_counter:inst4|has_escaped
12       = iteration_counter:inst4|reset
13       = iteration_counter:inst4|xout[0..9]
14       = iteration_counter:inst4|yout[0..9]
15       = iteration_counter:inst4|Cim[31..0]
16       = iteration_counter:inst4|Cre[31..0]
17       = busmux:mux1|sel
18       = xy_to_address:inst3|address[18..0]
19       = comparator_480:inst12|y
20       = comparator_480:inst12|x[9..0]
21       = complex_coordinate_generator:inst8|i[31..0]
22       = complex_coordinate_generator:inst8|just_reset[31..0]

Data Table:

Signals-> 0 1 2 3 4 5   6   7              8           9 10 11 12 13  14  15          16         17 18     19 20  21 22 

sample

-32       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-31       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-30       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-29       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-28       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-27       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-26       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-25       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-24       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-23       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-22       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-21       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-20       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-19       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-18       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-17       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-16       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-15       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-14       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-13       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-12       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-11       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-10       1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-9        1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-8        1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-7        1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-6        1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-5        1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-4        1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-3        1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-2        1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
-1        1 1 0 1 0 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 0  479 0  0  
0         1 1 0 1 1 640 480 6.73130342e+19 1.94707966  1 1  1  0  639 480 1.94707966  1.13739085 1  307839 1  480 0  0  
1         1 0 0 1 0 0   0   6.73130342e+19 -1.94707966 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 0  1  
2         1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 1  1  
3         1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 2  1  
4         1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 3  1  
5         1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 4  1  
6         1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 5  1  
7         1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 6  1  
8         1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 7  1  
9         1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 8  1  
10        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 9  1  
11        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 10 1  
12        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 11 1  
13        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 12 1  
14        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 0  0  
15        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 1  0  
16        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 2  0  
17        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 3  0  
18        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 4  0  
19        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 5  0  
20        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 6  0  
21        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 7  0  
22        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 8  0  
23        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 9  0  
24        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 10 0  
25        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 11 0  
26        1 0 0 1 0 0   0   8.97376066e-38 -1.95124638 1 1  1  0  639 480 1.94707966  1.13739085 0  307839 1  480 12 0  
